Date,Absent_mean_NY,Absent_rate_mean,Present_mean_NY,Present_rate_mean,temperature_mean (°C),precipitation (mm),description
2018-09-05,62,12.36,532,87.61,26,0,State of sky on the whole unchanged
2018-09-06,52,10.57,544,89.4,27,3,Drizzle - not freezing - continuous
2018-09-07,53,10.82,544,89.15,23,7,Rain - not freezing - continuous
2018-09-12,37,7.3,561,92.66,23,15,Rain - not freezing - continuous
2018-09-13,36,7.23,562,92.74,22,35,Rain - not freezing - continuous
2018-09-14,39,7.91,559,92.07,21,1,Drizzle - not freezing - continuous
2018-09-17,38,7.4,561,92.58,22,5,Drizzle - not freezing - continuous
2018-09-18,39,7.73,559,92.25,22,28,Rain - not freezing - continuous
2018-09-20,36,6.93,563,93.05,19,3,Drizzle - not freezing - continuous
2018-09-21,42,8.25,557,91.72,21,0,Clouds generally forming or developing
2018-09-24,40,7.7,559,92.28,17,0,Drizzle - not freezing - continuous
2018-09-25,50,9.92,548,90.05,19,53,Rain - not freezing - continuous
2018-09-26,36,7.03,563,92.93,23,10,Rain - not freezing - continuous
2018-09-27,34,6.68,565,93.29,18,5,Rain - not freezing - continuous
2018-09-28,49,9.8,550,90.18,16,37,Rain - not freezing - continuous
2018-10-01,39,7.58,560,92.39,20,1,Drizzle - not freezing - continuous
2018-10-02,35,6.81,564,93.15,21,27,Rain - not freezing - continuous
2018-10-03,32,6.44,566,93.46,20,0,Clouds generally forming or developing
2018-10-04,33,6.63,565,93.19,20,2,Rain - not freezing - continuous
2018-10-05,40,8,559,91.93,17,0,Clouds generally forming or developing
2018-10-09,37,7.21,562,92.73,22,1,Drizzle - not freezing - continuous
2018-10-10,37,7.14,562,92.83,22,1,Drizzle - not freezing - continuous
2018-10-11,36,7.29,563,92.68,22,14,Rain - not freezing - continuous
2018-10-12,42,8.37,557,91.6,15,5,Rain - not freezing - continuous
2018-10-15,42,8.23,557,91.74,16,7,Rain - not freezing - continuous
2018-10-16,35,6.91,564,93.07,11,1,Drizzle - not freezing - continuous
2018-10-17,34,6.78,565,93.18,11,0,Drizzle - not freezing - continuous
2018-10-18,36,7.11,563,92.86,7,0,State of sky on the whole unchanged
2018-10-19,43,8.47,556,91.49,10,0,Drizzle - not freezing - continuous
2018-10-22,41,7.99,558,91.98,7,0,Clouds generally forming or developing
2018-10-23,35,6.97,564,93,11,0,Drizzle - not freezing - continuous
2018-10-24,35,6.85,565,93.13,9,0,Clouds generally forming or developing
2018-10-25,35,7.01,564,92.95,7,0,Clouds generally forming or developing
2018-10-26,45,8.66,554,91.3,7,0,Drizzle - not freezing - continuous
2018-10-29,42,8.08,557,91.88,10,2,Drizzle - not freezing - continuous
2018-10-30,35,6.91,564,93.06,8,0,Cloud development not observed or not observable - Characteristic change of the state of sky during the past hour
2018-10-31,63,12.56,536,87.41,11,0,Clouds generally forming or developing
2018-11-01,44,8.58,555,91.38,16,0,Drizzle - not freezing - continuous
2018-11-02,45,8.95,554,91.01,19,9,Rain - not freezing - continuous
2018-11-05,41,8.05,558,91.92,10,6,Rain - not freezing - continuous
2018-11-06,1,0.37,269,99.63,12,14,Rain - not freezing - continuous
2018-11-07,32,6.3,567,93.63,13,0,Clouds generally forming or developing
2018-11-08,35,6.85,564,93.11,9,0,Clouds generally forming or developing
2018-11-09,42,8.37,557,91.6,7,15,Rain - not freezing - continuous
2018-11-13,48,9.34,551,90.63,8,18,Rain - not freezing - continuous
2018-11-14,36,7.11,563,92.85,2,0,Clouds generally forming or developing
2018-11-15,83,16.3,516,83.65,1,22,Continuous fall of snowflakes
2018-11-16,91,17.99,507,81.96,4,10,Continuous fall of snowflakes
2018-11-19,40,7.71,559,92.22,7,0,Clouds generally forming or developing
2018-11-20,41,8.22,557,91.74,5,1,Drizzle - not freezing - continuous
2018-11-21,67,13.34,531,86.61,3,0,Drizzle - not freezing - continuous
2018-11-26,48,9.22,550,90.73,7,28,Rain - not freezing - continuous
2018-11-27,45,8.93,553,91.04,5,2,Drizzle - not freezing - continuous
2018-11-28,39,7.68,559,92.17,3,0,Clouds generally forming or developing
2018-11-29,39,7.65,560,92.32,4,0,Clouds generally forming or developing
2018-11-30,60,11.2,539,88.75,3,2,Continuous fall of snowflakes
2018-12-03,42,8.26,556,91.7,10,0,Clouds generally forming or developing
2018-12-04,39,7.7,559,92.26,2,0,Clouds generally forming or developing
2018-12-05,40,7.91,559,92.05,-1,0,Clouds generally forming or developing
2018-12-06,41,8.06,557,91.89,1,0,Clouds generally forming or developing
2018-12-07,48,9.61,550,90.31,0,0,Clouds generally dissolving or becoming less developed
2018-12-10,47,9.04,551,90.89,-1,0,Clouds generally forming or developing
2018-12-11,43,8.29,555,91.66,-1,0,Clouds generally dissolving or becoming less developed
2018-12-12,43,8.39,555,91.57,1,0,Clouds generally forming or developing
